type,start,end,pre,post,pre_val,post_val,hours
binary_switch,2013-02-06 14:00:00+01:00,2013-02-06 14:00:00+01:00,2013-02-06 13:45:00+01:00,2013-02-06 14:15:00+01:00,0.0,6.6,
binary_switch,2014-01-21 10:01:00+01:00,2014-01-28 11:00:00+01:00,2014-01-21 09:46:00+01:00,2014-01-28 11:15:00+01:00,7.05,0.0,
binary_switch,2014-01-28 11:15:00+01:00,2014-01-28 11:15:00+01:00,2014-01-28 11:00:00+01:00,2014-01-28 11:30:00+01:00,0.0,7.06,
binary_switch,2014-01-30 05:15:00+01:00,2014-01-30 08:30:00+01:00,2014-01-30 05:00:00+01:00,2014-01-30 08:45:00+01:00,7.04,0.0,
binary_switch,2014-01-30 08:45:00+01:00,2014-01-30 08:45:00+01:00,2014-01-30 08:30:00+01:00,2014-01-30 09:00:00+01:00,0.0,6.92,
binary_switch,2014-02-11 11:31:00+01:00,2014-02-11 11:46:00+01:00,2014-02-11 11:16:00+01:00,2014-02-11 12:01:00+01:00,7.15,0.0,
binary_switch,2014-02-11 12:01:00+01:00,2014-02-11 12:01:00+01:00,2014-02-11 11:46:00+01:00,2014-02-11 12:16:00+01:00,0.0,7.14,
binary_switch,2014-03-24 15:15:00+01:00,2014-03-27 09:45:00+01:00,2014-03-24 15:00:00+01:00,2014-03-27 10:00:00+01:00,7.13,0.0,
binary_switch,2014-03-27 10:00:00+01:00,2014-03-27 10:00:00+01:00,2014-03-27 09:45:00+01:00,2014-03-27 10:15:00+01:00,0.0,6.89,
binary_switch,2014-11-10 23:30:00+01:00,2014-11-17 14:15:00+01:00,2014-11-10 23:15:00+01:00,2014-11-17 14:30:00+01:00,6.71,0.0,
binary_switch,2014-11-17 14:30:00+01:00,2014-11-17 14:30:00+01:00,2014-11-17 14:15:00+01:00,2014-11-17 14:45:00+01:00,0.0,6.82,
binary_switch,2015-01-05 14:45:00+01:00,2015-01-21 13:30:00+01:00,2015-01-05 14:30:00+01:00,2015-01-21 13:45:00+01:00,6.56,0.0,
binary_switch,2015-01-21 13:45:00+01:00,2015-01-21 13:45:00+01:00,2015-01-21 13:30:00+01:00,2015-01-21 14:00:00+01:00,0.0,6.64,
binary_switch,2015-01-26 01:00:00+01:00,2015-01-26 13:45:00+01:00,2015-01-26 00:45:00+01:00,2015-01-26 14:00:00+01:00,6.58,0.0,
binary_switch,2015-01-26 14:00:00+01:00,2015-01-26 14:00:00+01:00,2015-01-26 13:45:00+01:00,2015-01-26 14:15:00+01:00,0.0,6.58,
binary_switch,2015-01-30 18:00:00+01:00,2015-02-02 16:00:00+01:00,2015-01-30 17:45:00+01:00,2015-02-02 16:15:00+01:00,6.56,0.0,
binary_switch,2015-02-02 16:15:00+01:00,2015-02-02 16:15:00+01:00,2015-02-02 16:00:00+01:00,2015-02-02 16:30:00+01:00,0.0,6.49,
binary_switch,2015-11-19 20:30:00+01:00,2015-11-21 01:00:00+01:00,2015-11-19 20:15:00+01:00,2015-11-21 01:15:00+01:00,6.87,0.0,
binary_switch,2015-11-23 14:15:00+01:00,2015-11-23 14:15:00+01:00,2015-11-23 14:00:00+01:00,2015-11-23 14:31:00+01:00,0.0,6.98,
binary_switch,2015-11-24 20:46:00+01:00,2015-11-30 14:01:00+01:00,2015-11-24 20:31:00+01:00,2015-11-30 14:16:00+01:00,7.18,0.0,
binary_switch,2015-11-30 14:46:00+01:00,2015-12-04 11:00:00+01:00,2015-11-30 14:31:00+01:00,2015-12-04 11:15:00+01:00,6.74,0.0,
binary_switch,2015-12-04 11:15:00+01:00,2015-12-04 11:15:00+01:00,2015-12-04 11:00:00+01:00,2015-12-04 11:30:00+01:00,0.0,6.92,
binary_switch,2015-12-05 09:46:00+01:00,2015-12-07 14:16:00+01:00,2015-12-05 09:31:00+01:00,2015-12-07 14:31:00+01:00,7.01,0.0,
binary_switch,2015-12-07 14:31:00+01:00,2015-12-07 14:31:00+01:00,2015-12-07 14:16:00+01:00,2015-12-07 14:46:00+01:00,0.0,6.99,
binary_switch,2016-02-01 14:15:00+01:00,2016-02-01 14:15:00+01:00,2016-02-01 14:00:00+01:00,2016-02-01 14:30:00+01:00,6.63,0.0,
binary_switch,2016-02-01 14:30:00+01:00,2016-02-01 14:30:00+01:00,2016-02-01 14:15:00+01:00,2016-02-01 14:46:00+01:00,0.0,6.75,
binary_switch,2016-02-29 14:30:00+01:00,2016-02-29 14:45:00+01:00,2016-02-29 14:16:00+01:00,2016-02-29 15:00:00+01:00,6.78,0.0,
binary_switch,2016-02-29 15:00:00+01:00,2016-02-29 15:00:00+01:00,2016-02-29 14:45:00+01:00,2016-02-29 15:15:00+01:00,0.0,6.52,
binary_switch,2016-12-04 20:46:00+01:00,2016-12-12 14:46:00+01:00,2016-12-04 20:31:00+01:00,2016-12-12 15:01:00+01:00,7.01,0.0,
binary_switch,2016-12-12 15:01:00+01:00,2016-12-12 15:01:00+01:00,2016-12-12 14:46:00+01:00,2016-12-12 15:16:00+01:00,0.0,6.77,
binary_switch,2016-12-13 10:15:00+01:00,2016-12-19 14:00:00+01:00,2016-12-13 10:00:00+01:00,2016-12-19 14:15:00+01:00,7.03,0.0,
binary_switch,2016-12-19 14:15:00+01:00,2016-12-19 14:15:00+01:00,2016-12-19 14:00:00+01:00,2016-12-19 14:30:00+01:00,0.0,6.57,
binary_switch,2016-12-29 22:30:00+01:00,2017-01-02 14:30:00+01:00,2016-12-29 22:15:00+01:00,2017-01-02 14:45:00+01:00,6.97,0.0,
binary_switch,2017-01-02 14:45:00+01:00,2017-01-02 14:45:00+01:00,2017-01-02 14:30:00+01:00,2017-01-02 15:00:00+01:00,0.0,6.6,
binary_switch,2017-01-06 00:15:00+01:00,2017-01-09 14:30:00+01:00,2017-01-06 00:00:00+01:00,2017-01-09 14:45:00+01:00,6.93,0.0,
binary_switch,2017-01-09 14:45:00+01:00,2017-01-09 14:45:00+01:00,2017-01-09 14:30:00+01:00,2017-01-09 15:00:00+01:00,0.0,6.88,
binary_switch,2017-02-20 14:00:00+01:00,2017-02-28 15:15:00+01:00,2017-02-20 13:45:00+01:00,2017-02-28 15:30:00+01:00,7.08,0.0,
binary_switch,2017-02-28 15:30:00+01:00,2017-02-28 15:30:00+01:00,2017-02-28 15:15:00+01:00,2017-02-28 15:45:00+01:00,0.0,6.07,
binary_switch,2017-03-13 15:00:00+01:00,2017-03-20 14:30:00+01:00,2017-03-13 14:45:00+01:00,2017-03-20 14:45:00+01:00,6.8,0.0,
binary_switch,2017-03-20 14:45:00+01:00,2017-03-20 14:45:00+01:00,2017-03-20 14:30:00+01:00,2017-03-20 15:00:00+01:00,0.0,6.73,
binary_switch,2017-11-06 15:46:00+01:00,2017-11-20 15:16:00+01:00,2017-11-06 15:31:00+01:00,2017-11-20 15:31:00+01:00,6.66,0.0,
binary_switch,2017-11-20 15:31:00+01:00,2017-11-20 15:31:00+01:00,2017-11-20 15:16:00+01:00,2017-11-20 15:46:00+01:00,0.0,6.84,
binary_switch,2017-11-24 10:46:00+01:00,2017-11-27 13:46:00+01:00,2017-11-24 10:31:00+01:00,2017-11-27 14:01:00+01:00,6.87,0.0,
binary_switch,2017-11-27 14:01:00+01:00,2017-11-27 14:01:00+01:00,2017-11-27 13:46:00+01:00,2017-11-27 14:16:00+01:00,0.0,6.92,
binary_switch,2018-01-08 14:00:00+01:00,2018-01-08 14:00:00+01:00,2018-01-08 13:45:00+01:00,2018-01-08 14:15:00+01:00,6.59,0.0,
binary_switch,2018-01-08 14:15:00+01:00,2018-01-08 14:15:00+01:00,2018-01-08 14:00:00+01:00,2018-01-08 14:30:00+01:00,0.0,6.62,
binary_switch,2019-01-14 14:45:00+01:00,2019-01-14 14:45:00+01:00,2019-01-14 14:30:00+01:00,2019-01-14 15:00:00+01:00,6.32,0.0,
binary_switch,2019-01-14 15:00:00+01:00,2019-01-14 15:00:00+01:00,2019-01-14 14:45:00+01:00,2019-01-14 15:15:00+01:00,0.0,6.32,
binary_switch,2019-03-17 10:30:00+01:00,2019-03-18 15:00:00+01:00,2019-03-17 09:30:00+01:00,2019-03-18 15:15:00+01:00,6.53,0.0,
binary_switch,2019-03-18 15:15:00+01:00,2019-03-18 15:15:00+01:00,2019-03-18 15:00:00+01:00,2019-03-18 15:30:00+01:00,0.0,6.62,
flat_values,2013-01-17 14:00:00+01:00,2013-02-06 14:00:00+01:00,,,,,480.0
